fecha,act_local,act_ext,inmueble,acciones
1/9/1977,-0.2133,-0.2439,-0.0251,-0.7841
1/10/1977,-0.2207,-0.2004,-0.0273,-0.8148
1/11/1977,-0.2024,-0.2314,0.0869,-0.6783
1/12/1977,-0.1151,-0.1166,0.0758,-0.6962
1/1/1978,-0.1240,-0.1694,-0.0194,-0.6681
1/2/1978,-0.0771,-0.1901,-0.1130,-0.6453
1/3/1978,-0.0813,-0.1833,-0.0721,-0.6140
1/4/1978,-0.1196,-0.2236,-0.2049,-0.6211
1/5/1978,-0.1342,-0.2486,-0.1410,-0.6073
1/6/1978,-0.1173,-0.2563,-0.0183,-0.5267
1/7/1978,-0.1023,-0.2762,-0.1522,-0.3353
1/8/1978,-0.0708,-0.2647,0.0471,-0.1064
1/9/1978,-0.0593,-0.2756,-0.0839,0.5690
1/10/1978,-0.0519,-0.2779,0.0953,0.5418
1/11/1978,-0.0751,-0.2945,-0.1419,0.1415
1/12/1978,-0.1191,-0.3334,0.0138,0.1882
1/1/1979,-0.1430,-0.3352,-0.2813,0.4568
1/2/1979,-0.1798,-0.3536,0.4556,0.3054
1/3/1979,-0.1803,-0.3464,-0.1902,0.3219
1/4/1979,-0.1546,-0.3292,0.2483,0.9292
1/5/1979,-0.1431,-0.2910,0.1002,2.1479
1/6/1979,-0.1712,-0.2980,-0.0281,1.4364
1/7/1979,-0.1794,-0.2842,0.0951,0.8649
1/8/1979,-0.2055,-0.3123,0.2369,0.7497
1/9/1979,-0.2048,-0.3145,0.3625,-0.0877
1/10/1979,-0.1546,-0.2930,0.2382,0.4617
1/11/1979,-0.1192,-0.2772,0.1789,0.4211
1/12/1979,-0.0855,-0.2556,0.0315,0.4018
1/1/1980,-0.0478,-0.2315,0.5510,0.2204
1/2/1980,-0.0381,-0.2334,0.0110,0.6407
1/3/1980,-0.0313,-0.2324,0.6967,0.2770
1/4/1980,-0.0377,-0.2405,-0.0456,-0.2065
1/5/1980,-0.0452,-0.2489,-0.0166,-0.5621
1/6/1980,-0.0277,-0.2383,-0.0555,-0.4416
1/7/1980,-0.0162,-0.2445,-0.0667,-0.3834
1/8/1980,0.0507,-0.1987,-0.1685,-0.4012
1/9/1980,0.0508,-0.1992,-0.1462,-0.3002
1/10/1980,-0.0101,-0.2444,-0.0739,-0.5290
1/11/1980,-0.0323,-0.2564,-0.0387,-0.4717
1/12/1980,-0.0402,-0.2615,0.0063,-0.5169
1/1/1981,-0.0235,-0.2504,-0.0555,-0.4862
1/2/1981,-0.0138,-0.1750,0.0097,-0.6560
1/3/1981,-0.0019,-0.1213,-0.1022,-0.5876
1/4/1981,0.0129,0.0886,0.0447,-0.6088
1/5/1981,0.0252,0.1893,-0.1929,-0.6534
1/6/1981,0.0241,1.2050,-0.0455,-0.5463
1/7/1981,0.0158,1.1262,-0.1028,-0.5546
1/8/1981,0.0175,1.0772,-0.1471,-0.6084
1/9/1981,0.0426,1.0511,-0.2547,-0.5932
1/10/1981,0.1013,1.4782,-0.3652,-0.4787
1/11/1981,0.1025,1.9349,-0.2295,-0.3225
1/12/1981,0.0798,1.5876,-0.2516,-0.2466
1/1/1982,0.0265,1.3500,-0.3408,-0.4542
1/2/1982,0.0314,1.0299,-0.4286,-0.4839
1/3/1982,0.0488,1.2214,-0.3837,-0.5952
1/4/1982,0.0734,1.2319,-0.4312,-0.4680
1/5/1982,0.1275,1.9510,-0.2335,0.0552
1/6/1982,0.1364,0.7517,-0.2700,0.0750
1/7/1982,0.0356,2.9213,0.0414,0.7520
1/8/1982,-0.0751,1.9816,0.0778,0.5607
1/9/1982,-0.1935,1.5866,0.3874,0.2960
1/10/1982,-0.2517,1.3490,0.2041,0.0753
1/11/1982,-0.2785,1.1194,0.1160,-0.1917
1/12/1982,-0.2824,1.3767,0.1565,-0.1469
1/1/1983,-0.2966,1.3515,0.3735,0.0789
1/2/1983,-0.3242,1.5951,0.5611,0.2470
1/3/1983,-0.3461,1.3921,0.6252,0.4613
1/4/1983,-0.3631,0.8079,0.7938,0.9534
1/5/1983,-0.3873,0.2488,0.5961,0.4975
1/6/1983,-0.4147,0.1862,0.3896,-0.1168
1/7/1983,-0.3768,-0.3501,0.1089,-0.3880
1/8/1983,-0.3587,-0.0092,0.0726,-0.0245
1/9/1983,-0.3425,0.3222,-0.2445,0.1049
1/10/1983,-0.3229,0.0231,-0.1381,0.5912
1/11/1983,-0.3227,-0.1705,-0.1298,0.6882
1/12/1983,-0.3277,-0.2263,-0.1618,0.1653
1/1/1984,-0.2682,0.0770,-0.0109,0.5253
1/2/1984,-0.2872,0.1476,-0.0363,0.6107
1/3/1984,-0.3415,0.0741,0.0342,0.9197
1/4/1984,-0.3881,0.1027,-0.0091,-0.0665
1/5/1984,-0.4152,0.0978,0.1092,-0.0920
1/6/1984,-0.4105,0.0384,0.0566,0.1831
1/7/1984,-0.3921,-0.1389,0.0166,-0.2258
1/8/1984,-0.3763,-0.1703,0.0179,-0.3465
1/9/1984,-0.3706,-0.3389,-0.0385,-0.4198
1/10/1984,-0.3488,-0.2029,-0.1096,-0.6103
1/11/1984,-0.2666,0.0702,0.1316,-0.5404
1/12/1984,-0.2345,0.1253,0.2044,-0.2597
1/1/1985,-0.2388,-0.0450,-0.0452,-0.5526
1/2/1985,-0.1805,-0.0274,-0.0419,-0.6096
1/3/1985,-0.1349,0.0224,-0.0772,-0.7228
1/4/1985,-0.1018,0.0170,-0.1953,-0.6891
1/5/1985,-0.0503,0.0208,-0.2582,-0.7254
1/6/1985,-0.0002,0.0478,-0.2837,-0.5427
1/7/1985,0.1131,0.1507,-0.1114,-0.2089
1/8/1985,0.1811,0.0364,-0.0505,0.7082
1/9/1985,0.3215,0.0906,0.0433,1.3257
1/10/1985,0.3503,0.1508,0.1462,1.1980
1/11/1985,0.2726,-0.0746,-0.0242,0.7663
1/12/1985,0.2688,-0.0454,-0.1028,0.4234
1/1/1986,0.2729,-0.0973,-0.0630,0.7061
1/2/1986,0.2780,-0.2184,-0.1297,0.5212
1/3/1986,0.3277,-0.2259,-0.1878,0.5789
1/4/1986,0.3780,-0.2181,-0.0879,1.6648
1/5/1986,0.3550,-0.2399,-0.0278,2.2224
1/6/1986,0.3386,-0.2667,0.1167,0.7777
1/7/1986,0.1741,-0.3066,-0.1549,0.4592
1/8/1986,0.0964,-0.1735,-0.1244,-0.3640
1/9/1986,0.0458,-0.1375,-0.0687,-0.5104
1/10/1986,0.0184,-0.1648,-0.0743,-0.4090
1/11/1986,0.0172,-0.0183,-0.0472,-0.4310
1/12/1986,0.0292,0.1172,-0.0007,-0.3932
1/1/1987,0.0130,0.0215,0.0434,-0.3162
1/2/1987,-0.0064,0.0630,-0.0537,-0.0522
1/3/1987,-0.0186,0.1353,-0.0257,-0.0758
1/4/1987,-0.0168,0.1888,0.0173,-0.2779
1/5/1987,0.0000,0.2083,-0.0109,-0.3881
1/6/1987,-0.0088,0.2317,-0.0764,-0.3542
1/7/1987,-0.0046,0.3526,0.0376,-0.4359
1/8/1987,-0.0042,0.2408,0.0296,-0.2349
1/9/1987,0.0002,0.3467,0.0981,-0.1525
1/10/1987,-0.0562,0.2800,0.0563,-0.1787
1/11/1987,-0.0774,0.1645,-0.0596,-0.1480
1/12/1987,-0.0602,0.1856,0.0140,-0.1093
1/1/1988,-0.0475,0.3029,0.1239,-0.2166
